episode 1 took 1150 iterations, avg loss = 0.046249, sum_reward = -21, curr_eps = 0.998966, len(experience) = 1146
episode 2 took 1122 iterations, avg loss = 0.048034, sum_reward = -21, curr_eps = 0.997956, len(experience) = 2264
episode 3 took 1376 iterations, avg loss = 0.045636, sum_reward = -20, curr_eps = 0.996718, len(experience) = 3636
episode 4 took 1093 iterations, avg loss = 0.046429, sum_reward = -21, curr_eps = 0.995734, len(experience) = 4725
episode 5 took 1398 iterations, avg loss = 0.045986, sum_reward = -19, curr_eps = 0.994476, len(experience) = 6119
episode 6 took 1235 iterations, avg loss = 0.045945, sum_reward = -20, curr_eps = 0.993364, len(experience) = 7350
episode 7 took 1207 iterations, avg loss = 0.046030, sum_reward = -21, curr_eps = 0.992278, len(experience) = 8553
episode 8 took 1117 iterations, avg loss = 0.045753, sum_reward = -21, curr_eps = 0.991273, len(experience) = 9666
episode 9 took 1169 iterations, avg loss = 0.044898, sum_reward = -21, curr_eps = 0.990221, len(experience) = 10831
episode 10 took 1268 iterations, avg loss = 0.045544, sum_reward = -20, curr_eps = 0.989079, len(experience) = 12095
episode 11 took 1306 iterations, avg loss = 0.045291, sum_reward = -20, curr_eps = 0.987904, len(experience) = 13397
episode 12 took 1353 iterations, avg loss = 0.044492, sum_reward = -20, curr_eps = 0.986686, len(experience) = 14746
episode 13 took 1063 iterations, avg loss = 0.044776, sum_reward = -21, curr_eps = 0.985730, len(experience) = 15805
episode 14 took 1139 iterations, avg loss = 0.044861, sum_reward = -21, curr_eps = 0.984704, len(experience) = 16940
episode 15 took 1285 iterations, avg loss = 0.044405, sum_reward = -20, curr_eps = 0.983548, len(experience) = 18221
episode 16 took 1476 iterations, avg loss = 0.044541, sum_reward = -19, curr_eps = 0.982220, len(experience) = 19693
episode 17 took 1090 iterations, avg loss = 0.045059, sum_reward = -21, curr_eps = 0.981239, len(experience) = 20779
episode 18 took 1052 iterations, avg loss = 0.044494, sum_reward = -21, curr_eps = 0.980292, len(experience) = 21827
episode 19 took 1305 iterations, avg loss = 0.043982, sum_reward = -21, curr_eps = 0.979117, len(experience) = 23128
