episode 1 took 1160 iterations, avg loss = 0.013300, sum_reward = -21, curr_eps = 0.998957, len(experience) = 1156
episode 2 took 1161 iterations, avg loss = 0.018477, sum_reward = -20, curr_eps = 0.997912, len(experience) = 2313
episode 3 took 1275 iterations, avg loss = 0.018166, sum_reward = -21, curr_eps = 0.996765, len(experience) = 3584
episode 4 took 1201 iterations, avg loss = 0.017857, sum_reward = -20, curr_eps = 0.995684, len(experience) = 4781
episode 5 took 1018 iterations, avg loss = 0.016950, sum_reward = -21, curr_eps = 0.994767, len(experience) = 5795
episode 6 took 1190 iterations, avg loss = 0.017589, sum_reward = -21, curr_eps = 0.993696, len(experience) = 6981
episode 7 took 1468 iterations, avg loss = 0.015930, sum_reward = -20, curr_eps = 0.992375, len(experience) = 8445
episode 8 took 1283 iterations, avg loss = 0.016158, sum_reward = -20, curr_eps = 0.991220, len(experience) = 9724
episode 9 took 1253 iterations, avg loss = 0.015180, sum_reward = -21, curr_eps = 0.990093, len(experience) = 10973
episode 10 took 1226 iterations, avg loss = 0.015218, sum_reward = -21, curr_eps = 0.988989, len(experience) = 12195
episode 11 took 1279 iterations, avg loss = 0.013703, sum_reward = -19, curr_eps = 0.987838, len(experience) = 13470
episode 12 took 1320 iterations, avg loss = 0.012371, sum_reward = -19, curr_eps = 0.986650, len(experience) = 14786
episode 13 took 1201 iterations, avg loss = 0.011934, sum_reward = -20, curr_eps = 0.985569, len(experience) = 15983
episode 14 took 1202 iterations, avg loss = 0.011477, sum_reward = -20, curr_eps = 0.984488, len(experience) = 17181
episode 15 took 1382 iterations, avg loss = 0.011307, sum_reward = -19, curr_eps = 0.983244, len(experience) = 18559
episode 16 took 1362 iterations, avg loss = 0.010809, sum_reward = -20, curr_eps = 0.982018, len(experience) = 19917
episode 17 took 1022 iterations, avg loss = 0.010498, sum_reward = -21, curr_eps = 0.981098, len(experience) = 20935
episode 18 took 1005 iterations, avg loss = 0.009528, sum_reward = -21, curr_eps = 0.980194, len(experience) = 21936
episode 19 took 1290 iterations, avg loss = 0.010070, sum_reward = -20, curr_eps = 0.979033, len(experience) = 23222
episode 20 took 1153 iterations, avg loss = 0.009986, sum_reward = -20, curr_eps = 0.977995, len(experience) = 24371
episode 21 took 1291 iterations, avg loss = 0.009599, sum_reward = -20, curr_eps = 0.976833, len(experience) = 25658
episode 22 took 1063 iterations, avg loss = 0.009200, sum_reward = -21, curr_eps = 0.975876, len(experience) = 26717
episode 23 took 1323 iterations, avg loss = 0.009049, sum_reward = -21, curr_eps = 0.974686, len(experience) = 28036
episode 24 took 1132 iterations, avg loss = 0.009079, sum_reward = -21, curr_eps = 0.973667, len(experience) = 29164
episode 25 took 1375 iterations, avg loss = 0.009570, sum_reward = -20, curr_eps = 0.972429, len(experience) = 30535
episode 26 took 1124 iterations, avg loss = 0.009597, sum_reward = -21, curr_eps = 0.971418, len(experience) = 31655
episode 27 took 1368 iterations, avg loss = 0.008523, sum_reward = -19, curr_eps = 0.970187, len(experience) = 33019
episode 28 took 1194 iterations, avg loss = 0.008688, sum_reward = -20, curr_eps = 0.969112, len(experience) = 34209
episode 29 took 1338 iterations, avg loss = 0.008640, sum_reward = -19, curr_eps = 0.967908, len(experience) = 35543
episode 30 took 1103 iterations, avg loss = 0.009080, sum_reward = -21, curr_eps = 0.966915, len(experience) = 36642
episode 31 took 1114 iterations, avg loss = 0.008724, sum_reward = -21, curr_eps = 0.965912, len(experience) = 37752
episode 32 took 1311 iterations, avg loss = 0.008598, sum_reward = -20, curr_eps = 0.964733, len(experience) = 39059
episode 33 took 1352 iterations, avg loss = 0.008668, sum_reward = -20, curr_eps = 0.963516, len(experience) = 40407
episode 34 took 1407 iterations, avg loss = 0.008651, sum_reward = -18, curr_eps = 0.962249, len(experience) = 41810
episode 35 took 1332 iterations, avg loss = 0.008984, sum_reward = -20, curr_eps = 0.961051, len(experience) = 43138
episode 36 took 1060 iterations, avg loss = 0.008603, sum_reward = -21, curr_eps = 0.960097, len(experience) = 44194
episode 37 took 1436 iterations, avg loss = 0.008599, sum_reward = -20, curr_eps = 0.958804, len(experience) = 45626
episode 38 took 1093 iterations, avg loss = 0.008080, sum_reward = -21, curr_eps = 0.957821, len(experience) = 46715
episode 39 took 1208 iterations, avg loss = 0.007689, sum_reward = -21, curr_eps = 0.956733, len(experience) = 47919
episode 40 took 1296 iterations, avg loss = 0.008222, sum_reward = -20, curr_eps = 0.955567, len(experience) = 49211
episode 41 took 1138 iterations, avg loss = 0.008013, sum_reward = -21, curr_eps = 0.954543, len(experience) = 50345
episode 42 took 1159 iterations, avg loss = 0.008701, sum_reward = -20, curr_eps = 0.953500, len(experience) = 51500
episode 43 took 1423 iterations, avg loss = 0.008321, sum_reward = -19, curr_eps = 0.952219, len(experience) = 52919
episode 44 took 1209 iterations, avg loss = 0.008119, sum_reward = -20, curr_eps = 0.951131, len(experience) = 54124
episode 45 took 1698 iterations, avg loss = 0.007668, sum_reward = -19, curr_eps = 0.949603, len(experience) = 55818
episode 46 took 1087 iterations, avg loss = 0.008586, sum_reward = -21, curr_eps = 0.948624, len(experience) = 56901
episode 47 took 1496 iterations, avg loss = 0.007982, sum_reward = -19, curr_eps = 0.947278, len(experience) = 58393
episode 48 took 1094 iterations, avg loss = 0.008200, sum_reward = -21, curr_eps = 0.946293, len(experience) = 59483
episode 49 took 1230 iterations, avg loss = 0.008453, sum_reward = -21, curr_eps = 0.945186, len(experience) = 60709
episode 50 took 1064 iterations, avg loss = 0.008414, sum_reward = -21, curr_eps = 0.944229, len(experience) = 61769
episode 51 took 1306 iterations, avg loss = 0.007917, sum_reward = -21, curr_eps = 0.943053, len(experience) = 63071
episode 52 took 1369 iterations, avg loss = 0.008175, sum_reward = -20, curr_eps = 0.941821, len(experience) = 64436
episode 53 took 1344 iterations, avg loss = 0.007793, sum_reward = -21, curr_eps = 0.940612, len(experience) = 65776
episode 54 took 1423 iterations, avg loss = 0.008242, sum_reward = -20, curr_eps = 0.939331, len(experience) = 67195
episode 55 took 1264 iterations, avg loss = 0.007333, sum_reward = -21, curr_eps = 0.938193, len(experience) = 68455
episode 56 took 1082 iterations, avg loss = 0.007526, sum_reward = -21, curr_eps = 0.937220, len(experience) = 69533
episode 57 took 1492 iterations, avg loss = 0.007927, sum_reward = -19, curr_eps = 0.935877, len(experience) = 71021
episode 58 took 1315 iterations, avg loss = 0.008033, sum_reward = -21, curr_eps = 0.934693, len(experience) = 72332
episode 59 took 1217 iterations, avg loss = 0.008023, sum_reward = -20, curr_eps = 0.933598, len(experience) = 73545
episode 60 took 1119 iterations, avg loss = 0.007065, sum_reward = -20, curr_eps = 0.932591, len(experience) = 74660
episode 61 took 1175 iterations, avg loss = 0.007228, sum_reward = -21, curr_eps = 0.931533, len(experience) = 75831
episode 62 took 1597 iterations, avg loss = 0.007228, sum_reward = -19, curr_eps = 0.930096, len(experience) = 77424
episode 63 took 1023 iterations, avg loss = 0.007338, sum_reward = -21, curr_eps = 0.929175, len(experience) = 78443
episode 64 took 1100 iterations, avg loss = 0.007692, sum_reward = -21, curr_eps = 0.928185, len(experience) = 79539
episode 65 took 1103 iterations, avg loss = 0.008042, sum_reward = -21, curr_eps = 0.927193, len(experience) = 80638
episode 66 took 1346 iterations, avg loss = 0.007972, sum_reward = -21, curr_eps = 0.925981, len(experience) = 81980
episode 67 took 1213 iterations, avg loss = 0.007305, sum_reward = -20, curr_eps = 0.924890, len(experience) = 83189
episode 68 took 1459 iterations, avg loss = 0.007418, sum_reward = -20, curr_eps = 0.923577, len(experience) = 84644
episode 69 took 1125 iterations, avg loss = 0.007246, sum_reward = -20, curr_eps = 0.922564, len(experience) = 85765
episode 70 took 1226 iterations, avg loss = 0.007388, sum_reward = -20, curr_eps = 0.921461, len(experience) = 86987
episode 71 took 1383 iterations, avg loss = 0.007569, sum_reward = -18, curr_eps = 0.920216, len(experience) = 88366
episode 72 took 1174 iterations, avg loss = 0.007059, sum_reward = -21, curr_eps = 0.919159, len(experience) = 89536
episode 73 took 1211 iterations, avg loss = 0.008345, sum_reward = -20, curr_eps = 0.918069, len(experience) = 90743
episode 74 took 1190 iterations, avg loss = 0.007751, sum_reward = -21, curr_eps = 0.916998, len(experience) = 91929
episode 75 took 1047 iterations, avg loss = 0.007751, sum_reward = -21, curr_eps = 0.916056, len(experience) = 92972
episode 76 took 1199 iterations, avg loss = 0.007278, sum_reward = -21, curr_eps = 0.914977, len(experience) = 94167
episode 77 took 1240 iterations, avg loss = 0.007476, sum_reward = -20, curr_eps = 0.913861, len(experience) = 95403
episode 78 took 1170 iterations, avg loss = 0.007069, sum_reward = -21, curr_eps = 0.912808, len(experience) = 96569
episode 79 took 1115 iterations, avg loss = 0.007839, sum_reward = -20, curr_eps = 0.911805, len(experience) = 97680
episode 80 took 1288 iterations, avg loss = 0.006716, sum_reward = -20, curr_eps = 0.910645, len(experience) = 98964
episode 81 took 1231 iterations, avg loss = 0.007658, sum_reward = -20, curr_eps = 0.909537, len(experience) = 100191
episode 82 took 1115 iterations, avg loss = 0.007726, sum_reward = -21, curr_eps = 0.908534, len(experience) = 101302
episode 83 took 1446 iterations, avg loss = 0.007292, sum_reward = -18, curr_eps = 0.907232, len(experience) = 102744
episode 84 took 1154 iterations, avg loss = 0.007661, sum_reward = -21, curr_eps = 0.906194, len(experience) = 103894
episode 85 took 1356 iterations, avg loss = 0.007511, sum_reward = -20, curr_eps = 0.904973, len(experience) = 105246
episode 86 took 1274 iterations, avg loss = 0.007366, sum_reward = -21, curr_eps = 0.903827, len(experience) = 106516
episode 87 took 1383 iterations, avg loss = 0.007262, sum_reward = -20, curr_eps = 0.902582, len(experience) = 107895
episode 88 took 1581 iterations, avg loss = 0.007415, sum_reward = -19, curr_eps = 0.901159, len(experience) = 109472
episode 89 took 1128 iterations, avg loss = 0.007447, sum_reward = -20, curr_eps = 0.900144, len(experience) = 110596
episode 90 took 1306 iterations, avg loss = 0.007743, sum_reward = -19, curr_eps = 0.898969, len(experience) = 111898
episode 91 took 1363 iterations, avg loss = 0.007153, sum_reward = -19, curr_eps = 0.897742, len(experience) = 113257
episode 92 took 1233 iterations, avg loss = 0.007361, sum_reward = -21, curr_eps = 0.896632, len(experience) = 114486
episode 93 took 1373 iterations, avg loss = 0.007140, sum_reward = -21, curr_eps = 0.895397, len(experience) = 115855
episode 94 took 1256 iterations, avg loss = 0.006878, sum_reward = -20, curr_eps = 0.894266, len(experience) = 117107
episode 95 took 1466 iterations, avg loss = 0.007303, sum_reward = -18, curr_eps = 0.892947, len(experience) = 118569
episode 96 took 1127 iterations, avg loss = 0.006883, sum_reward = -20, curr_eps = 0.891933, len(experience) = 119692
episode 97 took 1050 iterations, avg loss = 0.007711, sum_reward = -21, curr_eps = 0.890988, len(experience) = 120738
episode 98 took 1141 iterations, avg loss = 0.007303, sum_reward = -21, curr_eps = 0.889961, len(experience) = 121875
episode 99 took 1361 iterations, avg loss = 0.006774, sum_reward = -20, curr_eps = 0.888736, len(experience) = 123232
episode 100 took 1059 iterations, avg loss = 0.006661, sum_reward = -21, curr_eps = 0.887783, len(experience) = 124287
episode 101 took 1400 iterations, avg loss = 0.007046, sum_reward = -20, curr_eps = 0.886523, len(experience) = 125683
episode 102 took 1239 iterations, avg loss = 0.007251, sum_reward = -20, curr_eps = 0.885408, len(experience) = 126918
episode 103 took 1032 iterations, avg loss = 0.007305, sum_reward = -21, curr_eps = 0.884479, len(experience) = 127946
episode 104 took 1104 iterations, avg loss = 0.006962, sum_reward = -21, curr_eps = 0.883485, len(experience) = 129046
episode 105 took 1117 iterations, avg loss = 0.007340, sum_reward = -20, curr_eps = 0.882480, len(experience) = 130159
episode 106 took 1104 iterations, avg loss = 0.007029, sum_reward = -21, curr_eps = 0.881486, len(experience) = 131259
episode 107 took 1270 iterations, avg loss = 0.006727, sum_reward = -20, curr_eps = 0.880343, len(experience) = 132525
episode 108 took 1227 iterations, avg loss = 0.007109, sum_reward = -20, curr_eps = 0.879239, len(experience) = 133748
episode 109 took 1278 iterations, avg loss = 0.007323, sum_reward = -20, curr_eps = 0.878089, len(experience) = 135022
episode 110 took 1397 iterations, avg loss = 0.007460, sum_reward = -20, curr_eps = 0.876831, len(experience) = 136415
episode 111 took 1264 iterations, avg loss = 0.006720, sum_reward = -19, curr_eps = 0.875694, len(experience) = 137675
episode 112 took 1057 iterations, avg loss = 0.006795, sum_reward = -21, curr_eps = 0.874742, len(experience) = 138728
episode 113 took 1233 iterations, avg loss = 0.007137, sum_reward = -21, curr_eps = 0.873633, len(experience) = 139957
episode 114 took 1543 iterations, avg loss = 0.006648, sum_reward = -19, curr_eps = 0.872244, len(experience) = 141496
episode 115 took 1501 iterations, avg loss = 0.007209, sum_reward = -18, curr_eps = 0.870893, len(experience) = 142993
episode 116 took 1294 iterations, avg loss = 0.007060, sum_reward = -20, curr_eps = 0.869729, len(experience) = 144283
episode 117 took 1249 iterations, avg loss = 0.006584, sum_reward = -20, curr_eps = 0.868605, len(experience) = 145528
episode 118 took 1218 iterations, avg loss = 0.006789, sum_reward = -20, curr_eps = 0.867508, len(experience) = 146742
episode 119 took 1106 iterations, avg loss = 0.007004, sum_reward = -21, curr_eps = 0.866513, len(experience) = 147844
episode 120 took 1132 iterations, avg loss = 0.006766, sum_reward = -21, curr_eps = 0.865494, len(experience) = 148972
episode 121 took 1105 iterations, avg loss = 0.007245, sum_reward = -21, curr_eps = 0.864500, len(experience) = 150073
episode 122 took 1209 iterations, avg loss = 0.006941, sum_reward = -21, curr_eps = 0.863411, len(experience) = 151278
episode 123 took 1191 iterations, avg loss = 0.006870, sum_reward = -20, curr_eps = 0.862340, len(experience) = 152465
episode 124 took 1314 iterations, avg loss = 0.007258, sum_reward = -20, curr_eps = 0.861157, len(experience) = 153775
episode 125 took 1180 iterations, avg loss = 0.006647, sum_reward = -21, curr_eps = 0.860095, len(experience) = 154951
episode 126 took 1149 iterations, avg loss = 0.006638, sum_reward = -20, curr_eps = 0.859061, len(experience) = 156096
episode 127 took 1542 iterations, avg loss = 0.007008, sum_reward = -19, curr_eps = 0.857673, len(experience) = 157634
episode 128 took 1263 iterations, avg loss = 0.006822, sum_reward = -20, curr_eps = 0.856536, len(experience) = 158893
episode 129 took 1460 iterations, avg loss = 0.006423, sum_reward = -19, curr_eps = 0.855222, len(experience) = 160349
episode 130 took 1140 iterations, avg loss = 0.006266, sum_reward = -21, curr_eps = 0.854196, len(experience) = 161485
episode 131 took 1643 iterations, avg loss = 0.007153, sum_reward = -18, curr_eps = 0.852718, len(experience) = 163124
episode 132 took 1234 iterations, avg loss = 0.006541, sum_reward = -21, curr_eps = 0.851607, len(experience) = 164354
episode 133 took 1115 iterations, avg loss = 0.006763, sum_reward = -21, curr_eps = 0.850604, len(experience) = 165465
episode 134 took 1095 iterations, avg loss = 0.006465, sum_reward = -21, curr_eps = 0.849618, len(experience) = 166556
episode 135 took 1249 iterations, avg loss = 0.006977, sum_reward = -20, curr_eps = 0.848494, len(experience) = 167801
episode 136 took 1069 iterations, avg loss = 0.006638, sum_reward = -21, curr_eps = 0.847532, len(experience) = 168866
episode 137 took 1363 iterations, avg loss = 0.006493, sum_reward = -21, curr_eps = 0.846305, len(experience) = 170225
episode 138 took 1213 iterations, avg loss = 0.006855, sum_reward = -21, curr_eps = 0.845213, len(experience) = 171434
episode 139 took 1347 iterations, avg loss = 0.006957, sum_reward = -21, curr_eps = 0.844001, len(experience) = 172777
episode 140 took 1183 iterations, avg loss = 0.006564, sum_reward = -21, curr_eps = 0.842936, len(experience) = 173956
episode 141 took 1316 iterations, avg loss = 0.006933, sum_reward = -20, curr_eps = 0.841752, len(experience) = 175268
episode 142 took 1390 iterations, avg loss = 0.006877, sum_reward = -20, curr_eps = 0.840501, len(experience) = 176654
episode 143 took 1281 iterations, avg loss = 0.006544, sum_reward = -20, curr_eps = 0.839348, len(experience) = 177931
episode 144 took 1083 iterations, avg loss = 0.006714, sum_reward = -21, curr_eps = 0.838373, len(experience) = 179010
episode 145 took 1252 iterations, avg loss = 0.006839, sum_reward = -21, curr_eps = 0.837247, len(experience) = 180258
