episode 1 took 1213 iterations, avg loss = 0.044721, sum_reward = -21, curr_eps = 0.998909, len(experience) = 1209
episode 2 took 1217 iterations, avg loss = 0.045280, sum_reward = -21, curr_eps = 0.997814, len(experience) = 2422
episode 3 took 1367 iterations, avg loss = 0.045545, sum_reward = -21, curr_eps = 0.996584, len(experience) = 3785
episode 4 took 1177 iterations, avg loss = 0.043616, sum_reward = -21, curr_eps = 0.995524, len(experience) = 4958
episode 5 took 1262 iterations, avg loss = 0.044585, sum_reward = -20, curr_eps = 0.994389, len(experience) = 6216
episode 6 took 1123 iterations, avg loss = 0.044053, sum_reward = -20, curr_eps = 0.993378, len(experience) = 7335
episode 7 took 1114 iterations, avg loss = 0.042663, sum_reward = -21, curr_eps = 0.992375, len(experience) = 8445
episode 8 took 1439 iterations, avg loss = 0.041797, sum_reward = -20, curr_eps = 0.991080, len(experience) = 9880
episode 9 took 1194 iterations, avg loss = 0.041453, sum_reward = -20, curr_eps = 0.990005, len(experience) = 11070
episode 10 took 1236 iterations, avg loss = 0.040543, sum_reward = -19, curr_eps = 0.988893, len(experience) = 12302
episode 11 took 1342 iterations, avg loss = 0.039501, sum_reward = -21, curr_eps = 0.987685, len(experience) = 13640
episode 12 took 1132 iterations, avg loss = 0.039281, sum_reward = -21, curr_eps = 0.986667, len(experience) = 14768
episode 13 took 1282 iterations, avg loss = 0.039274, sum_reward = -20, curr_eps = 0.985513, len(experience) = 16046
episode 14 took 1170 iterations, avg loss = 0.039339, sum_reward = -21, curr_eps = 0.984460, len(experience) = 17212
episode 15 took 1206 iterations, avg loss = 0.039564, sum_reward = -21, curr_eps = 0.983374, len(experience) = 18414
episode 16 took 1154 iterations, avg loss = 0.039226, sum_reward = -20, curr_eps = 0.982336, len(experience) = 19564
episode 17 took 1042 iterations, avg loss = 0.039525, sum_reward = -21, curr_eps = 0.981398, len(experience) = 20602
episode 18 took 1108 iterations, avg loss = 0.039276, sum_reward = -21, curr_eps = 0.980401, len(experience) = 21706
episode 19 took 1446 iterations, avg loss = 0.039667, sum_reward = -20, curr_eps = 0.979099, len(experience) = 23148
episode 20 took 1308 iterations, avg loss = 0.039538, sum_reward = -20, curr_eps = 0.977922, len(experience) = 24452
episode 21 took 1424 iterations, avg loss = 0.039297, sum_reward = -19, curr_eps = 0.976641, len(experience) = 25872
episode 22 took 1173 iterations, avg loss = 0.038812, sum_reward = -20, curr_eps = 0.975585, len(experience) = 27041
episode 23 took 1199 iterations, avg loss = 0.038821, sum_reward = -20, curr_eps = 0.974506, len(experience) = 28236
episode 24 took 1030 iterations, avg loss = 0.038741, sum_reward = -21, curr_eps = 0.973579, len(experience) = 29262
episode 25 took 1179 iterations, avg loss = 0.038796, sum_reward = -20, curr_eps = 0.972518, len(experience) = 30437
episode 26 took 1288 iterations, avg loss = 0.039381, sum_reward = -20, curr_eps = 0.971358, len(experience) = 31721
episode 27 took 1340 iterations, avg loss = 0.038835, sum_reward = -19, curr_eps = 0.970152, len(experience) = 33057
episode 28 took 1374 iterations, avg loss = 0.038630, sum_reward = -21, curr_eps = 0.968916, len(experience) = 34427
episode 29 took 1060 iterations, avg loss = 0.038758, sum_reward = -21, curr_eps = 0.967962, len(experience) = 35483
episode 30 took 1171 iterations, avg loss = 0.038721, sum_reward = -20, curr_eps = 0.966908, len(experience) = 36650
episode 31 took 1242 iterations, avg loss = 0.038716, sum_reward = -20, curr_eps = 0.965790, len(experience) = 37888
episode 32 took 1218 iterations, avg loss = 0.038250, sum_reward = -20, curr_eps = 0.964694, len(experience) = 39102
episode 33 took 1110 iterations, avg loss = 0.039446, sum_reward = -21, curr_eps = 0.963695, len(experience) = 40208
episode 34 took 1389 iterations, avg loss = 0.038240, sum_reward = -19, curr_eps = 0.962445, len(experience) = 41593
episode 35 took 1154 iterations, avg loss = 0.038728, sum_reward = -20, curr_eps = 0.961406, len(experience) = 42743
episode 36 took 1282 iterations, avg loss = 0.038739, sum_reward = -20, curr_eps = 0.960252, len(experience) = 44021
episode 37 took 1212 iterations, avg loss = 0.038496, sum_reward = -20, curr_eps = 0.959162, len(experience) = 45229
episode 38 took 1095 iterations, avg loss = 0.038024, sum_reward = -21, curr_eps = 0.958176, len(experience) = 46320
episode 39 took 1326 iterations, avg loss = 0.037792, sum_reward = -19, curr_eps = 0.956983, len(experience) = 47642
episode 40 took 1173 iterations, avg loss = 0.038327, sum_reward = -21, curr_eps = 0.955927, len(experience) = 48811
episode 41 took 1118 iterations, avg loss = 0.038846, sum_reward = -20, curr_eps = 0.954921, len(experience) = 49925
episode 42 took 1091 iterations, avg loss = 0.038537, sum_reward = -21, curr_eps = 0.953939, len(experience) = 51012
episode 43 took 1014 iterations, avg loss = 0.039023, sum_reward = -21, curr_eps = 0.953026, len(experience) = 52022
episode 44 took 1359 iterations, avg loss = 0.038661, sum_reward = -18, curr_eps = 0.951803, len(experience) = 53377
episode 45 took 1195 iterations, avg loss = 0.038359, sum_reward = -20, curr_eps = 0.950728, len(experience) = 54568
episode 46 took 1758 iterations, avg loss = 0.038120, sum_reward = -19, curr_eps = 0.949145, len(experience) = 56322
episode 47 took 1124 iterations, avg loss = 0.038637, sum_reward = -21, curr_eps = 0.948134, len(experience) = 57442
episode 48 took 1108 iterations, avg loss = 0.038176, sum_reward = -21, curr_eps = 0.947137, len(experience) = 58546
episode 49 took 1104 iterations, avg loss = 0.038083, sum_reward = -21, curr_eps = 0.946143, len(experience) = 59646
episode 50 took 1086 iterations, avg loss = 0.038661, sum_reward = -21, curr_eps = 0.945166, len(experience) = 60728
episode 51 took 1245 iterations, avg loss = 0.038206, sum_reward = -20, curr_eps = 0.944045, len(experience) = 61969
episode 52 took 1135 iterations, avg loss = 0.038104, sum_reward = -21, curr_eps = 0.943024, len(experience) = 63100
episode 53 took 1315 iterations, avg loss = 0.038599, sum_reward = -19, curr_eps = 0.941840, len(experience) = 64411
episode 54 took 1388 iterations, avg loss = 0.038547, sum_reward = -19, curr_eps = 0.940591, len(experience) = 65795
episode 55 took 1312 iterations, avg loss = 0.038379, sum_reward = -20, curr_eps = 0.939410, len(experience) = 67103
episode 56 took 1391 iterations, avg loss = 0.038703, sum_reward = -19, curr_eps = 0.938158, len(experience) = 68490
episode 57 took 1127 iterations, avg loss = 0.038355, sum_reward = -21, curr_eps = 0.937144, len(experience) = 69613
episode 58 took 1292 iterations, avg loss = 0.038491, sum_reward = -20, curr_eps = 0.935981, len(experience) = 70901
episode 59 took 1205 iterations, avg loss = 0.038729, sum_reward = -21, curr_eps = 0.934897, len(experience) = 72102
episode 60 took 1052 iterations, avg loss = 0.038916, sum_reward = -21, curr_eps = 0.933950, len(experience) = 73150
episode 61 took 1093 iterations, avg loss = 0.038267, sum_reward = -21, curr_eps = 0.932966, len(experience) = 74239
episode 62 took 1205 iterations, avg loss = 0.037777, sum_reward = -21, curr_eps = 0.931882, len(experience) = 75440
episode 63 took 1159 iterations, avg loss = 0.038146, sum_reward = -21, curr_eps = 0.930839, len(experience) = 76595
episode 64 took 1165 iterations, avg loss = 0.037653, sum_reward = -21, curr_eps = 0.929790, len(experience) = 77756
episode 65 took 1305 iterations, avg loss = 0.038273, sum_reward = -20, curr_eps = 0.928616, len(experience) = 79057
episode 66 took 1224 iterations, avg loss = 0.038159, sum_reward = -21, curr_eps = 0.927514, len(experience) = 80277
episode 67 took 1325 iterations, avg loss = 0.037854, sum_reward = -19, curr_eps = 0.926322, len(experience) = 81598
episode 68 took 1415 iterations, avg loss = 0.038061, sum_reward = -19, curr_eps = 0.925048, len(experience) = 83009
episode 69 took 1090 iterations, avg loss = 0.038050, sum_reward = -21, curr_eps = 0.924067, len(experience) = 84095
episode 70 took 1504 iterations, avg loss = 0.038178, sum_reward = -21, curr_eps = 0.922713, len(experience) = 85595
episode 71 took 1138 iterations, avg loss = 0.038321, sum_reward = -21, curr_eps = 0.921689, len(experience) = 86729
episode 72 took 1089 iterations, avg loss = 0.037614, sum_reward = -21, curr_eps = 0.920709, len(experience) = 87814
episode 73 took 1221 iterations, avg loss = 0.038036, sum_reward = -21, curr_eps = 0.919610, len(experience) = 89031
episode 74 took 1300 iterations, avg loss = 0.038618, sum_reward = -19, curr_eps = 0.918440, len(experience) = 90327
episode 75 took 1224 iterations, avg loss = 0.037450, sum_reward = -21, curr_eps = 0.917339, len(experience) = 91547
episode 76 took 1352 iterations, avg loss = 0.038218, sum_reward = -20, curr_eps = 0.916122, len(experience) = 92895
episode 77 took 1578 iterations, avg loss = 0.037800, sum_reward = -18, curr_eps = 0.914702, len(experience) = 94469
episode 78 took 1212 iterations, avg loss = 0.037841, sum_reward = -21, curr_eps = 0.913611, len(experience) = 95677
episode 79 took 1282 iterations, avg loss = 0.037951, sum_reward = -21, curr_eps = 0.912457, len(experience) = 96955
episode 80 took 1126 iterations, avg loss = 0.037950, sum_reward = -21, curr_eps = 0.911444, len(experience) = 98077
episode 81 took 1027 iterations, avg loss = 0.036631, sum_reward = -21, curr_eps = 0.910519, len(experience) = 99100
